iter	Passed	Remaining
0	1	162
1	2	144
2	4	136
3	5	128
4	6	125
5	7	123
6	9	121
7	10	121
8	12	124
9	13	123
10	14	121
11	16	119
12	17	117
13	18	115
14	20	113
15	21	112
16	22	111
17	23	109
18	25	109
19	27	109
20	28	108
21	30	106
22	31	105
23	32	103
24	33	101
25	35	100
26	36	98
27	37	96
28	38	95
29	40	94
30	41	93
31	43	92
32	45	91
33	46	89
34	47	88
35	48	87
36	50	85
37	51	84
38	52	82
39	54	81
40	55	80
41	56	77
42	58	77
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	66	68
49	67	67
50	68	66
51	70	65
52	72	63
53	73	62
54	74	60
55	75	59
56	76	58
57	78	56
58	79	55
59	81	54
60	82	52
61	84	51
62	85	50
63	87	48
64	88	47
65	89	46
66	91	45
67	93	44
68	94	42
69	95	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	107	30
78	108	28
79	109	27
80	110	25
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	121	15
89	122	13
90	123	12
91	124	10
92	126	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	133	1
99	135	0
